year,zone,hour,ev_trip_start,ev_trip_elec
2015,E07000194,ONEAM,7,0.0
2015,E07000074,ONEAM,8,2.04
2015,E07000195,ONEAM,5,0.9
2015,E07000075,ONEAM,7,0.0
2015,E07000196,ONEAM,4,3.35
2015,E07000076,ONEAM,11,0.0
2015,E07000197,ONEAM,5,4.63
2015,E08000027,ONEAM,18,8.06
2015,E08000028,ONEAM,18,3.64
2015,E08000025,ONEAM,65,16.51
2015,E08000026,ONEAM,21,4.91
2015,E09000010,ONEAM,16,7.08
2015,E08000029,ONEAM,17,9.89
2015,E09000012,ONEAM,2,0.0
2015,E09000011,ONEAM,9,0.77
2015,E09000025,ONEAM,16,10.18
2015,E09000024,ONEAM,11,0.0
2015,E09000027,ONEAM,11,3.64
2015,E09000026,ONEAM,11,1.32
2015,E09000029,ONEAM,8,1.68
2015,E09000028,ONEAM,6,0.96
2015,E07000165,ONEAM,13,1.45
2015,E07000044,ONEAM,6,1.33
2015,W06000009,ONEAM,8,0.0
2015,E07000166,ONEAM,3,1.13
2015,E07000045,ONEAM,10,0.66
2015,E07000167,ONEAM,6,0.0
2015,E07000046,ONEAM,2,0.0
2015,E07000168,ONEAM,9,2.23
2015,E07000047,ONEAM,5,1.45
2015,W06000008,ONEAM,5,0.99
2015,W06000005,ONEAM,3,0.0
2015,E07000040,ONEAM,11,0.0
2015,W06000006,ONEAM,5,0.0
2015,E07000041,ONEAM,7,1.42
2015,E07000163,ONEAM,4,1.55
2015,W06000003,ONEAM,8,8.78
2015,E07000042,ONEAM,2,0.0
2015,E07000164,ONEAM,4,0.89
2015,E07000043,ONEAM,6,0.0
2015,W06000004,ONEAM,3,0.0
2015,W06000012,ONEAM,14,1.18
2015,W06000013,ONEAM,10,0.0
2015,W06000010,ONEAM,13,0.0
2015,W06000011,ONEAM,14,0.0
2015,E07000169,ONEAM,5,0.0
2015,E07000048,ONEAM,1,0.0
2015,E07000049,ONEAM,4,1.82
2015,E09000021,ONEAM,7,0.79
2015,E09000020,ONEAM,10,7.92
2015,E09000023,ONEAM,10,0.0
2015,E09000022,ONEAM,10,1.64
2015,E07000170,ONEAM,3,0.0
2015,E07000171,ONEAM,7,0.75
2015,E07000050,ONEAM,2,0.0
2015,E07000176,ONEAM,9,2.64
2015,E07000177,ONEAM,11,7.36
2015,E07000178,ONEAM,10,0.0
2015,E07000179,ONEAM,8,1.03
2015,E07000172,ONEAM,10,9.13
2015,E07000051,ONEAM,2,2.33
2015,E07000173,ONEAM,8,0.0
2015,E07000052,ONEAM,6,0.0
2015,E07000174,ONEAM,6,0.64
2015,E07000053,ONEAM,3,1.52
2015,E07000175,ONEAM,8,0.0
2015,W06000001,ONEAM,5,0.0
2015,W06000002,ONEAM,9,0.0
2015,E09000030,ONEAM,13,7.02
2015,E09000032,ONEAM,13,2.79
2015,E09000031,ONEAM,10,0.32
2015,E09000033,ONEAM,9,5.38
2015,E07000143,ONEAM,5,0.16
2015,E07000144,ONEAM,8,1.7
2015,E07000145,ONEAM,6,0.38
2015,E07000146,ONEAM,11,2.03
2015,E07000140,ONEAM,2,0.0
2015,E07000141,ONEAM,5,0.0
2015,E06000049,ONEAM,22,2.81
2015,E07000142,ONEAM,7,0.0
2015,E06000047,ONEAM,33,1.51
2015,E06000045,ONEAM,22,14.95
